name	type	units
FP1	EEG	microV
F3	EEG	microV
F7	EEG	microV
FC3	EEG	microV
C3	EEG	microV
C5	EEG	microV
P3	EEG	microV
P7	EEG	microV
P9	EEG	microV
PO7	EEG	microV
PO3	EEG	microV
O1	EEG	microV
Oz	EEG	microV
Pz	EEG	microV
CPz	EEG	microV
FP2	EEG	microV
Fz	EEG	microV
F4	EEG	microV
F8	EEG	microV
FC4	EEG	microV
FCz	EEG	microV
Cz	EEG	microV
C4	EEG	microV
C6	EEG	microV
P4	EEG	microV
P8	EEG	microV
P10	EEG	microV
PO8	EEG	microV
PO4	EEG	microV
O2	EEG	microV
HEOG_left	EOG	microV
HEOG_right	EOG	microV
VEOG_lower	EOG	microV
